Player,Span,Mat,Inn,NO,Runs,HS,Avg,100,50,0,Player Profile
PD Collingwood+//0AoA-(ENG),2003+AC0-2011,68,115,10,4259,206,40.56,10,20,6,http://stats.espncricinfo.com/ci/content/player/10772.html
RA Smith+//0AoA-(ENG),1988+AC0-1996,62,112,15,4236,175,43.67,9,28,8,http://stats.espncricinfo.com/ci/content/player/20263.html
Mushfiqur Rahim+//0AoA-(BDESH),2005+AC0-2019,69,129,9,4210,219+ACo-,35.08,6,21,11,http://stats.espncricinfo.com/ci/content/player/56029.html
SM Katich+//0AoA-(AUS),2001+AC0-2010,56,99,6,4188,157,45.03,10,25,4,http://stats.espncricinfo.com/ci/content/player/6128.html
G Gambhir+//0AoA-(INDIA),2004+AC0-2016,58,104,5,4154,206,41.95,9,22,7,http://stats.espncricinfo.com/ci/content/player/28763.html
Mudassar Nazar+//0AoA-(PAK),1976+AC0-1989,76,116,8,4114,231,38.09,10,17,7,http://stats.espncricinfo.com/ci/content/player/41308.html
AM Rahane+//0AoA-(INDIA),2013+AC0-2019,63,105,11,4112,188,43.74,11,22,6,http://stats.espncricinfo.com/ci/content/player/277916.html
MJ Prior+//0AoA-(ENG),2007+AC0-2014,79,123,21,4099,131+ACo-,40.18,7,28,13,http://stats.espncricinfo.com/ci/content/player/18675.html
Saeed Anwar+//0AoA-(PAK),1990+AC0-2001,55,91,2,4052,188+ACo-,45.52,11,25,8,http://stats.espncricinfo.com/ci/content/player/42605.html
JM Bairstow+//0AoA-(ENG),2012+AC0-2019,70,123,7,4030,167+ACo-,34.74,6,21,10,http://stats.espncricinfo.com/ci/content/player/297433.html
M Vijay+//0AoA-(INDIA),2008+AC0-2018,61,105,1,3982,167,38.28,12,15,8,http://stats.espncricinfo.com/ci/content/player/237095.html
Majid Khan+//0AoA-(PAK),1964+AC0-1983,63,106,5,3931,167,38.92,8,19,9,http://stats.espncricinfo.com/ci/content/player/41919.html
MN Samuels+//0AoA-(WI),2000+AC0-2016,71,127,7,3917,260,32.64,7,24,14,http://stats.espncricinfo.com/ci/content/player/52983.html
Hanif Mohammad+//0AoA-(PAK),1952+AC0-1969,55,97,8,3915,337,43.98,12,15,5,http://stats.espncricinfo.com/ci/content/player/40373.html
Shakib Al Hasan+//0AoA-(BDESH),2007+AC0-2019,56,105,7,3862,217,39.4,5,24,4,http://stats.espncricinfo.com/ci/content/player/56143.html
FMM Worrell+//0AoA-(WI),1948+AC0-1963,51,87,9,3860,261,49.48,9,22,11,http://stats.espncricinfo.com/ci/content/player/53238.html
LD Chandimal+//0AoA-(SL),2011+AC0-2019,55,100,7,3846,164,41.35,11,18,4,http://stats.espncricinfo.com/ci/content/player/300628.html
A Flintoff+//0AoA-(ENG/ICC),1998+AC0-2009,79,130,9,3845,167,31.77,5,26,17,http://stats.espncricinfo.com/ci/content/player/12856.html
IJL Trott+//0AoA-(ENG),2009+AC0-2015,52,93,6,3835,226,44.08,9,19,8,http://stats.espncricinfo.com/ci/content/player/47623.html
RJ Shastri+//0AoA-(INDIA),1981+AC0-1992,80,121,14,3830,206,35.79,11,12,9,http://stats.espncricinfo.com/ci/content/player/33975.html
Imran Khan+//0AoA-(PAK),1971+AC0-1992,88,126,25,3807,136,37.69,6,18,8,http://stats.espncricinfo.com/ci/content/player/40560.html
F du Plessis+//0AoA-(SA),2012+AC0-2019,62,106,14,3799,137,41.29,9,21,9,http://stats.espncricinfo.com/ci/content/player/44828.html
CL Walcott+//0AoA-(WI),1948+AC0-1960,44,74,7,3798,220,56.68,15,14,1,http://stats.espncricinfo.com/ci/content/player/53211.html
BA Stokes+//0AoA-(ENG),2013+AC0-2019,60,110,4,3787,258,35.72,8,20,12,http://stats.espncricinfo.com/ci/content/player/311158.html
SM Pollock+//0AoA-(SA),1995+AC0-2008,108,156,39,3781,111,32.31,2,16,9,http://stats.espncricinfo.com/ci/content/player/46774.html
SR Watson+//0AoA-(AUS),2005+AC0-2015,59,109,3,3731,176,35.19,4,24,6,http://stats.espncricinfo.com/ci/content/player/8180.html
WJ Cronje+//0AoA-(SA),1992+AC0-2000,68,111,9,3714,135,36.41,6,23,11,http://stats.espncricinfo.com/ci/content/player/44485.html
